time,battery_level
2024-01-02 15:23:38.018111046+00:00,20.4
2024-01-02 15:35:31.649544957+00:00,22.4
2024-01-02 15:47:25.288641749+00:00,27.4
2024-01-02 15:59:18.877219718+00:00,26.4
2024-01-02 16:11:12.255720707+00:00,25.4
2024-01-02 16:23:05.466273448+00:00,18.4
2024-01-02 16:34:59.199088072+00:00,24.4
2024-01-02 16:46:53.036290228+00:00,19.4
2024-01-02 16:58:47.077070669+00:00,25.4
2024-01-02 17:10:40.805712687+00:00,20.4
2024-01-02 17:22:34.954375347+00:00,28.4
2024-01-02 17:34:28.383544443+00:00,26.4
2024-01-02 17:46:23.173113369+00:00,26.4
2024-01-02 17:58:16.581615404+00:00,21.4
2024-01-02 18:10:09.890927619+00:00,22.4
2024-01-02 18:22:03.247769401+00:00,21.4
2024-01-02 18:33:56.949357639+00:00,20.4
2024-01-02 18:45:50.993244884+00:00,20.4
2024-01-02 18:57:44.858305266+00:00,28.4
2024-01-02 19:09:38.737741056+00:00,24.4
2024-01-02 19:21:32.513251730+00:00,23.4
2024-01-02 19:33:25.524863399+00:00,21.4
2024-01-02 19:45:19.162617486+00:00,23.4
2024-01-02 19:57:13.508748664+00:00,19.4
2024-01-02 20:09:07.060241917+00:00,19.4
2024-01-02 20:21:00.645264511+00:00,19.4
2024-01-02 20:32:57.166587195+00:00,21.4
2024-01-02 20:44:47.725732750+00:00,25.4
2024-01-02 20:56:41.228163686+00:00,23.4
2024-01-02 21:08:36.526860550+00:00,20.4
2024-01-02 21:20:29.240637893+00:00,20.4
2024-01-02 21:32:23.179679477+00:00,23.4
2024-01-02 21:44:16.911808889+00:00,23.4
2024-01-02 21:56:11.159098455+00:00,19.4
2024-01-02 22:08:05.099324430+00:00,19.4
2024-01-02 22:19:59.760489683+00:00,20.4
2024-01-02 22:31:52.981895512+00:00,23.4
2024-01-02 22:43:47.244022884+00:00,24.4
2024-01-02 22:55:40.478519714+00:00,23.4
2024-01-02 23:07:34.491914012+00:00,24.4
2024-01-02 23:19:28.539183397+00:00,23.4
2024-01-02 23:31:22.372268632+00:00,22.4
2024-01-02 23:43:16.126529849+00:00,18.4
2024-01-02 23:55:09.637475817+00:00,23.4
2024-01-03 00:07:03.678768723+00:00,17.4
2024-01-03 00:18:57.929161671+00:00,19.4
2024-01-03 00:30:51.253134555+00:00,17.4
2024-01-03 00:42:45.088994242+00:00,20.4
2024-01-03 00:54:38.821523822+00:00,23.4
2024-01-03 01:06:32.657228024+00:00,19.4
2024-01-03 01:18:26.598461714+00:00,17.4
2024-01-03 01:30:20.230495433+00:00,19.4
2024-01-03 01:42:14.272484616+00:00,17.4
2024-01-03 01:54:07.909419721+00:00,18.4
2024-01-03 02:06:02.049379195+00:00,19.4
2024-01-03 02:17:56.409219522+00:00,22.4
2024-01-03 02:29:49.723372062+00:00,16.4
2024-01-03 02:41:43.568457374+00:00,20.4
2024-01-03 02:53:37.200546658+00:00,22.4
2024-01-03 03:05:30.620933706+00:00,19.4
2024-01-03 03:17:24.150853881+00:00,21.4
2024-01-03 03:29:17.782472961+00:00,22.4
2024-01-03 03:41:12.132549367+00:00,17.4
2024-01-03 03:53:06.409571245+00:00,22.4
2024-01-03 04:05:00.728399186+00:00,19.4
2024-01-03 04:16:54.236984664+00:00,22.4
2024-01-03 04:28:48.709363969+00:00,17.4
2024-01-03 04:40:41.623197350+00:00,17.4
2024-01-03 04:52:35.358897374+00:00,21.4
2024-01-03 05:04:29.403126477+00:00,20.4
2024-01-03 05:16:22.623496722+00:00,16.4
2024-01-03 05:28:16.766077648+00:00,18.4
2024-01-03 05:40:10.706560342+00:00,22.4
2024-01-03 05:52:04.646326245+00:00,21.4
2024-01-03 06:03:59.000370951+00:00,16.4
2024-01-03 06:15:52.428825923+00:00,16.4
2024-01-03 06:27:45.447264105+00:00,17.4
2024-01-03 06:39:39.606356997+00:00,21.4
2024-01-03 06:51:33.528237720+00:00,19.4
2024-01-03 07:03:27.567525307+00:00,21.4
2024-01-03 07:15:20.759098562+00:00,20.4
2024-01-03 07:27:14.730814858+00:00,20.4
2024-01-03 07:39:08.669331580+00:00,18.4
2024-01-03 07:51:02.213318253+00:00,16.4
2024-01-03 08:02:56.546925046+00:00,16.4
2024-01-03 08:14:49.565916578+00:00,17.4
2024-01-03 08:26:43.301304480+00:00,19.4
2024-01-03 08:38:37.546419018+00:00,20.4
2024-01-03 08:50:31.283143138+00:00,15.4
2024-01-03 09:02:25.836309687+00:00,18.4
2024-01-03 09:14:18.828256424+00:00,20.4
2024-01-03 09:26:13.508638889+00:00,20.4
2024-01-03 09:38:06.219937698+00:00,20.4
2024-01-03 09:49:59.961296005+00:00,18.4
2024-01-03 10:01:53.895959692+00:00,20.4
2024-01-03 10:13:48.553032271+00:00,20.4
2024-01-03 10:25:41.876221784+00:00,16.4
2024-01-03 10:37:35.508817892+00:00,15.4
2024-01-03 10:49:29.451764059+00:00,19.4
2024-01-03 11:01:23.597029556+00:00,16.4
2024-01-03 11:13:16.918876609+00:00,19.4
2024-01-03 11:25:10.401856674+00:00,19.4
2024-01-03 11:37:04.901300353+00:00,19.4
2024-01-03 11:48:58.227179803+00:00,17.4
